site,point_de_prelevement,date,heure,e_coli_npp_100ml,enterocoques_npp_100ml,id_point_prelevement,desc_point_prelevement
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-06-29,07:15,199.0,10.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-06-29,07:20,158.0,10.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-06-29,07:30,160.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-06-29,07:35,158.0,10.0,P18057,Face escalier d'accès
PLAGE DE MAGENTA,"P18031, Face douche Lions Club",2026-06-29,08:10,75.0,31.0,P18031,Face douche Lions Club
PLAGE DE MAGENTA,"P18032, Face bout de piste aérodrome",2026-06-29,08:15,146.0,10.0,P18032,Face bout de piste aérodrome
PLAGE DE MAGENTA,"P18043, Face Les Hélices",2026-06-29,08:20,465.0,279.0,P18043,Face Les Hélices
PLAGE DE LA BAIE DES CITRONS,"P18049, Face The Beach House",2026-07-02,06:50,677.0,10.0,P18049,Face The Beach House
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-07-02,06:55,84.0,10.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-07-02,07:00,20.0,10.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-07-02,07:05,51.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-07-02,07:10,120.0,10.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-07-02,07:15,121.0,10.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-07-02,07:20,109.0,10.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-07-02,07:30,75.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-07-02,07:35,98.0,10.0,P18057,Face escalier d'accès
PLAGE DE LA PROMENADE PIERRE VERNIER,"P18060, anse de la pointe (milieu)",2026-07-02,07:50,10.0,10.0,P18060,anse de la pointe (milieu)
PLAGE DU KUENDU BEACH,"P18048, Face entrée du Kuendu Beach",2026-07-02,08:20,30.0,10.0,P18048,Face entrée du Kuendu Beach
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-07-06,07:53,197.0,74.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-07-06,07:57,63.0,20.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-07-06,08:06,85.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-07-06,08:09,364.0,86.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-07-06,08:15,3255.0,1354.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-07-06,08:19,,10462.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-07-06,08:31,145.0,31.0,P18057,Face escalier d'accès
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-07-06,08:34,109.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE MAGENTA,"P18031, Face douche Lions Club",2026-07-06,09:05,359.0,160.0,P18031,Face douche Lions Club
PLAGE DE MAGENTA,"P18032, Face bout de piste aérodrome",2026-07-06,09:14,241.0,161.0,P18032,Face bout de piste aérodrome
PLAGE DE MAGENTA,"P18043, Face Les Hélices",2026-07-06,09:24,146.0,52.0,P18043,Face Les Hélices
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-07-07,08:03,243.0,30.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-07-07,08:09,272.0,74.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-07-07,08:19,9208.0,644.0,P18056,Face Nouvata Park hotel
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-07-09,07:53,85.0,10.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-07-09,07:57,41.0,10.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-07-09,08:04,243.0,20.0,P18053,Face Fun Beach (milieu de plage)
