date_changement,plage,etat_sanitaire
2026-06-03,Plage de Magenta,Baignade autorisée
2026-06-03,Plage de la baie des Citrons,Baignade autorisée
2026-06-09,Plage de la baie des Citrons,Baignade déconseillée
2026-06-10,Plage de la baie des Citrons,Baignade autorisée
2026-06-16,Plage de Magenta,Baignade interdite
2026-06-16,Plage de l'Anse-Vata,Baignade interdite
2026-06-17,Plage de Magenta,Baignade autorisée
2026-06-17,Plage de l'Anse-Vata,Baignade déconseillée
2026-06-26,Plage de l'Anse-Vata,Baignade autorisée
2026-07-07,Plage de l'Anse-Vata,Baignade déconseillée
2026-07-08,Plage de l'Anse-Vata,Baignade autorisée
2026-07-20,Plage de Magenta,Baignade déconseillée
2026-07-20,Plage de l'Anse-Vata,Baignade déconseillée
2026-07-20,Plage de la baie des Citrons,Baignade déconseillée
2026-07-20,Plage de la pointe Magnin,Baignade déconseillée
2026-07-20,Plage de la promenade Pierre-Vernier,Baignade déconseillée
2026-07-20,Plage du Kuendu Beach,Baignade déconseillée
